customer_id,first_name,last_name,date_of_birth,gender,city,state,customer_since,kyc_status,segment,annual_income,credit_score,is_active
C000050,Maria,Ndidi,1965-01-02,Non-binary,Seattle,WA,2021-08-14,Verified,Student,269925,750,Yes
C000051,Hong,King,1969-11-25,Female,Baltimore,MD,2013-12-24,Pending,Premium,46418,677,Yes
C000052,Lei,Green,1964-11-15,Male,Albuquerque,NM,2017-05-28,Partial,Senior,212499,654,Yes
C000053,Betty,Lopez,1960-06-20,Non-binary,Philadelphia,PA,2019-07-06,Failed,Wealth,243163,522,No
C000054,Samuel,Garcia,1979-07-07,Non-binary,Tucson,AZ,2016-06-24,Partial,Senior,298090,601,Yes
C000055,Kenneth,Okonkwo,1974-02-08,Non-binary,Honolulu,HI,2018-03-11,Pending,Wealth,278230,811,Yes
C000056,Heather,Zhang,1967-03-26,Female,Corpus Christi,TX,2020-11-19,Partial,Student,235096,651,Yes
C000057,Hui,Green,1985-08-24,Male,Dallas,TX,2021-12-05,Pending,Retail,177693,594,Yes
C000058,Brian,Rivera,1960-02-06,Male,Baltimore,MD,2014-10-23,Failed,Wealth,140743,617,No
C000059,James,Huang,1964-06-25,Non-binary,New York,NY,2017-12-10,Partial,Wealth,71644,815,Yes
C000060,Mary,Zhou,1981-01-08,Female,Mesa,AZ,2012-05-20,Verified,Premium,262320,703,Yes
C000061,Benjamin,Ramirez,2000-02-01,Male,Indianapolis,IN,2023-09-22,Failed,Business,95895,567,No
C000062,Ethan,Sharma,1986-09-13,Male,Portland,OR,2015-05-26,Verified,Student,96857,588,Yes
C000063,Margaret,Iyer,1993-05-24,Female,Kansas City,MO,2011-09-01,Verified,Retail,242132,582,Yes
C000064,Rahul,Nguyen,1974-06-09,Male,Kansas City,MO,2020-11-15,Verified,Business,209245,812,Yes
C000065,Scott,Wright,1972-01-28,Male,Long Beach,CA,2012-02-04,Failed,Premium,156491,582,No
C000066,Angela,Jackson,1976-11-09,Male,Colorado Springs,CO,2022-07-06,Partial,Student,148780,845,No
C000067,Michael,Wilson,1971-08-29,Female,Kansas City,MO,2020-02-14,Verified,Premium,261585,703,Yes
C000068,Jun,Li,1990-06-19,Non-binary,Lexington,KY,2020-01-05,Pending,Wealth,164162,521,Yes
C000069,Samantha,Flores,1988-07-19,Male,Omaha,NE,2010-12-14,Partial,Student,76963,653,Yes
C000070,Jacob,Perez,1976-02-06,Male,Kansas City,MO,2022-04-12,Verified,Wealth,116918,610,Yes
C000071,George,Gonzalez,1958-12-02,Non-binary,Boston,MA,2020-10-08,Partial,Premium,63003,821,Yes
C000072,Emily,Shah,1977-04-06,Female,Tucson,AZ,2016-06-28,Pending,Senior,268269,778,No
C000073,Samuel,Mensah,1993-06-15,Male,San Francisco,CA,2018-04-19,Verified,Retail,113249,780,Yes
C000074,Neha,Lewis,1988-04-23,Non-binary,New Orleans,LA,2015-01-21,Pending,Retail,89429,563,Yes
C000075,Emma,Hill,1994-01-06,Male,Anchorage,AK,2022-02-24,Verified,Senior,195182,793,Yes
C000076,Xiao,Hill,1986-07-14,Female,New Orleans,LA,2012-06-05,Verified,Business,45353,533,Yes
C000077,Shirley,Torres,1986-02-16,Male,Honolulu,HI,2016-02-09,Verified,Senior,114426,705,Yes
C000078,James,White,1990-02-08,Male,Corpus Christi,TX,2019-10-23,Verified,Premium,26908,849,Yes
C000079,Jonathan,Young,1971-05-18,Male,Honolulu,HI,2012-04-02,Partial,Business,52399,798,Yes
C000080,Christopher,Iyer,1957-11-26,Male,Houston,TX,2023-09-23,Failed,Business,206488,712,No
C000081,Yan,Lewis,1989-08-31,Non-binary,Fresno,CA,2023-12-23,Verified,Retail,227397,723,Yes
C000082,Lei,Chen,1991-03-18,Male,St. Louis,MO,2022-06-26,Verified,Business,192071,833,Yes
C000083,Betty,Thompson,1977-05-14,Male,Philadelphia,PA,2018-11-19,Pending,Business,229108,749,Yes
C000084,Debra,Lee,1963-04-15,Female,Dallas,TX,2014-06-24,Failed,Wealth,54708,816,No
C000085,Steven,Allen,1973-04-23,Female,San Diego,CA,2019-07-13,Verified,Business,226580,742,Yes
C000086,Samantha,Campbell,1956-10-28,Male,Austin,TX,2022-05-23,Verified,Student,204449,617,Yes
C000087,Benjamin,Hernandez,1982-09-08,Female,Minneapolis,MN,2016-01-26,Pending,Senior,199614,751,Yes
C000088,Lei,Perez,1991-04-09,Non-binary,Austin,TX,2013-04-19,Pending,Retail,114708,784,Yes
C000089,Elizabeth,Taylor,1958-10-22,Male,Indianapolis,IN,2012-10-08,Failed,Retail,218596,739,No
C000090,Steven,Chen,1960-01-08,Female,El Paso,TX,2022-07-26,Verified,Premium,295070,795,Yes
C000091,Samuel,Martinez,1994-09-25,Female,Portland,OR,2013-07-24,Verified,Wealth,122772,508,Yes
C000092,Jun,Baker,1961-06-28,Non-binary,Raleigh,NC,2019-09-24,Failed,Student,87523,752,No
C000093,Stephanie,Yoon,1988-10-18,Non-binary,Houston,TX,2022-06-20,Partial,Business,246955,524,Yes
C000094,Ryan,Nelson,1966-01-31,Female,Omaha,NE,2020-02-26,Verified,Wealth,86147,811,Yes
C000095,Carolyn,Martinez,1979-12-25,Male,Long Beach,CA,2013-05-29,Partial,Wealth,171671,837,Yes
C000096,Gregory,Adesanya,1968-12-30,Non-binary,Long Beach,CA,2022-08-15,Partial,Wealth,105219,815,Yes
C000097,Christopher,Green,1957-03-09,Male,New York,NY,2010-07-16,Verified,Student,171744,547,Yes
C000098,Lei,Clark,1984-12-04,Male,Long Beach,CA,2010-10-14,Verified,Business,120771,822,Yes
C000099,Jerry,Ramirez,1970-05-12,Female,Anchorage,AK,2011-12-24,Verified,Business,138317,622,Yes
C000100,Betty,Gupta,1976-08-21,Male,Anaheim,CA,2018-06-24,Failed,Student,60579,781,No
C000101,Nancy,Wang,1991-07-08,Female,Stockton,CA,2012-05-26,Verified,Student,99314,607,Yes
C000102,Amy,Lopez,1993-06-05,Male,Virginia Beach,VA,2020-12-08,Failed,Retail,92591,754,No
C000103,Fang,Kim,1985-08-14,Non-binary,Kansas City,MO,2020-09-01,Pending,Business,138330,780,Yes
C000104,Amy,Gupta,1967-06-08,Female,Austin,TX,2015-11-08,Pending,Student,36793,634,Yes
C000105,Yan,King,1961-05-06,Male,Oklahoma City,OK,2015-05-13,Pending,Senior,261971,661,Yes
C000106,Ronald,Martinez,1995-11-02,Female,Atlanta,GA,2014-05-03,Pending,Student,100509,765,Yes
C000107,Brandon,Smith,1955-09-18,Female,Phoenix,AZ,2020-02-19,Partial,Senior,215621,512,Yes
C000108,Jessica,Anderson,1958-12-10,Female,Mesa,AZ,2011-09-22,Verified,Business,187143,646,Yes
C000109,Jacob,Jones,1998-08-12,Female,San Jose,CA,2019-01-02,Failed,Business,72656,587,No
C000110,Samuel,Rodriguez,1992-02-15,Non-binary,Stockton,CA,2022-04-19,Pending,Premium,253359,651,Yes
C000111,Heather,Nelson,1965-03-04,Non-binary,Aurora,CO,2019-06-22,Partial,Retail,222087,572,Yes
C000112,Charles,Koné,1971-08-25,Male,Virginia Beach,VA,2023-11-08,Verified,Premium,64690,778,Yes
C000113,Ming,Campbell,1960-01-12,Non-binary,St. Louis,MO,2011-07-18,Partial,Senior,204643,638,No
C000114,Larry,Perez,1992-05-16,Female,Philadelphia,PA,2022-02-21,Pending,Senior,274600,657,Yes
C000115,Donna,Taylor,1991-06-23,Male,Sacramento,CA,2018-08-09,Failed,Senior,247295,568,No
C000116,Rahul,Li,1997-04-29,Male,Corpus Christi,TX,2017-02-10,Failed,Premium,151965,798,No
C000117,Jerry,Hill,1993-06-11,Male,St. Louis,MO,2016-03-14,Verified,Wealth,271215,504,Yes
C000118,Gregory,Roberts,1985-02-24,Non-binary,Dallas,TX,2011-07-12,Failed,Senior,207006,537,No
C000119,Larry,Ramirez,1965-06-06,Female,Jacksonville,FL,2012-08-28,Failed,Wealth,223171,826,No
C000120,Alexander,Kang,1967-06-06,Male,Indianapolis,IN,2018-03-20,Pending,Retail,90652,735,Yes
C000121,Daniel,Jung,2000-03-20,Male,Dallas,TX,2023-12-23,Partial,Senior,80360,826,Yes
C000122,Kathleen,Nguyen,1997-11-17,Non-binary,Jacksonville,FL,2018-04-09,Pending,Premium,292346,712,Yes
C000123,Daniel,Joshi,1969-07-18,Non-binary,Anaheim,CA,2010-05-02,Verified,Premium,78685,746,Yes
C000124,Ming,Mensah,1997-06-10,Female,Phoenix,AZ,2023-12-23,Pending,Wealth,211279,641,No
C000125,Betty,Nair,1971-08-06,Female,Boston,MA,2020-02-10,Verified,Senior,64456,844,Yes
C000126,Kimberly,Perez,1973-03-19,Female,Columbus,OH,2021-08-10,Failed,Wealth,26076,629,No
C000127,Jun,White,1976-05-27,Male,Stockton,CA,2010-04-13,Partial,Student,169544,666,Yes
C000128,Benjamin,White,1987-04-13,Non-binary,Las Vegas,NV,2023-03-26,Partial,Business,37905,700,Yes
C000129,Melissa,Hall,1957-02-04,Male,Memphis,TN,2014-04-07,Failed,Business,59957,617,No
C000130,James,Koné,1967-06-02,Male,San Francisco,CA,2010-10-21,Verified,Retail,237031,623,Yes
C000131,Raymond,Johnson,1955-01-16,Female,Milwaukee,WI,2019-06-24,Verified,Retail,57871,569,No
C000132,Paul,Carter,1957-08-27,Male,Boston,MA,2017-04-19,Verified,Student,92805,636,Yes
C000133,Emma,Okonkwo,1986-11-12,Non-binary,Lexington,KY,2019-01-31,Partial,Retail,287083,779,Yes
C000134,Patricia,Campbell,1980-09-25,Non-binary,Boston,MA,2019-04-10,Verified,Business,217099,623,Yes
C000135,Dennis,Lopez,1977-04-28,Non-binary,Corpus Christi,TX,2015-08-13,Pending,Student,41903,541,Yes
C000136,Jerry,Harris,1972-06-07,Female,Boston,MA,2017-12-07,Partial,Student,126161,525,Yes
C000137,Vijay,Martinez,1994-01-27,Female,Oklahoma City,OK,2018-06-30,Failed,Retail,129503,547,No
C000138,Wei,Nair,1971-10-07,Female,St. Louis,MO,2016-02-03,Verified,Business,75925,614,Yes
C000139,Donna,Wu,1956-04-22,Male,Riverside,CA,2021-06-08,Partial,Wealth,210670,532,Yes
C000140,Thomas,Hill,1969-01-16,Male,Aurora,CO,2016-12-23,Failed,Retail,95747,550,No
C000141,Michelle,Singh,1967-04-09,Female,Baltimore,MD,2015-09-08,Pending,Wealth,214029,631,Yes
C000142,Timothy,Sanchez,1963-11-06,Non-binary,San Diego,CA,2016-12-12,Pending,Wealth,70585,745,Yes
C000143,Isabella,Carter,1982-08-21,Non-binary,Philadelphia,PA,2011-02-28,Verified,Student,48683,816,Yes
C000144,Melissa,Adesanya,1956-10-29,Non-binary,Nashville,TN,2020-01-21,Pending,Senior,46616,766,Yes
C000145,Patrick,Shah,1964-10-11,Non-binary,San Diego,CA,2023-06-21,Pending,Senior,90299,543,Yes
C000146,Pooja,Garcia,1967-06-04,Male,Honolulu,HI,2018-07-04,Verified,Business,210284,740,Yes
C000147,Priya,Thomas,1970-11-24,Female,Sacramento,CA,2012-10-23,Partial,Business,240629,696,Yes
C000148,Sandra,Nelson,1985-06-02,Female,St. Louis,MO,2022-12-21,Verified,Student,265792,504,Yes
C000149,Nicholas,Singh,1991-01-18,Male,Charlotte,NC,2012-09-11,Verified,Business,35466,811,Yes
C000150,Debra,Williams,1994-06-01,Male,St. Louis,MO,2016-10-17,Pending,Senior,136032,704,Yes
C000151,Christopher,Sow,1996-01-04,Female,Charlotte,NC,2014-08-17,Verified,Student,76048,720,Yes
C000152,William,Kumar,1975-02-16,Male,Santa Ana,CA,2016-01-24,Partial,Premium,61950,584,Yes
C000153,Angela,Martinez,1965-01-20,Non-binary,Philadelphia,PA,2014-08-01,Failed,Senior,108885,628,No
C000154,Jeffrey,Gonzalez,1980-08-09,Male,Riverside,CA,2011-07-26,Verified,Business,100345,535,Yes
C000155,Daniel,Allen,1985-08-03,Non-binary,Long Beach,CA,2011-06-03,Pending,Senior,79031,687,Yes
C000156,Katherine,Chen,1961-04-20,Male,Pittsburgh,PA,2016-08-06,Failed,Student,120112,624,No
C000157,Noah,Johnson,1964-08-27,Female,Jacksonville,FL,2013-02-13,Partial,Retail,31799,774,Yes
C000158,Lisa,Jung,1984-01-05,Female,Sacramento,CA,2010-09-07,Verified,Business,296921,736,No
C000159,Robert,Mehta,1964-04-30,Female,Louisville,KY,2022-12-12,Failed,Premium,237900,806,No
C000160,Amit,Allen,1970-09-18,Non-binary,Washington,DC,2017-02-17,Verified,Student,181327,548,Yes
C000161,Shirley,Thompson,1964-12-21,Non-binary,Baltimore,MD,2019-06-10,Partial,Business,167031,564,Yes
C000162,Hong,Mitchell,1969-04-03,Non-binary,Oklahoma City,OK,2020-06-29,Pending,Retail,190332,766,Yes
C000163,Steven,Sanchez,1976-05-17,Male,Santa Ana,CA,2014-04-22,Partial,Business,159896,755,Yes
C000164,Mason,Davis,1989-12-06,Non-binary,Pittsburgh,PA,2017-11-22,Failed,Student,297365,694,No
C000165,Brandon,Lewis,1990-10-07,Male,Oklahoma City,OK,2020-03-07,Failed,Premium,298667,768,No
C000166,Lei,Ramirez,1959-12-09,Non-binary,San Jose,CA,2022-03-16,Pending,Retail,45714,559,Yes
C000167,Alexander,Li,1961-09-12,Male,Charlotte,NC,2012-04-11,Partial,Senior,50872,841,Yes
C000168,Kimberly,Nair,1979-09-08,Female,Chicago,IL,2017-02-26,Failed,Wealth,160396,529,No
C000169,Rachel,Lim,1992-10-23,Male,Sacramento,CA,2023-11-15,Verified,Senior,61743,559,Yes
C000170,Rohit,Scott,1961-01-07,Female,Albuquerque,NM,2018-04-02,Partial,Premium,258452,628,Yes
C000171,Donald,Li,2000-06-21,Male,New York,NY,2023-12-23,Partial,Retail,44975,712,Yes
C000172,Frank,Yoon,1981-04-07,Female,Omaha,NE,2015-08-13,Partial,Retail,82689,501,Yes
C000173,Vijay,Ramirez,2000-04-10,Female,Atlanta,GA,2023-04-25,Failed,Premium,196942,785,No
C000174,Charles,Liu,1973-03-14,Male,Honolulu,HI,2022-09-04,Partial,Wealth,133864,774,Yes
C000175,Katherine,Davis,1959-06-11,Non-binary,Sacramento,CA,2021-12-24,Verified,Senior,84336,511,Yes
C000176,Xiao,Traoré,1992-11-12,Male,Mesa,AZ,2020-10-02,Partial,Senior,51290,756,Yes
C000177,Justin,Lee,1997-01-28,Non-binary,Albuquerque,NM,2016-02-07,Partial,Business,230265,563,No
C000178,Ronald,Rivera,1961-04-11,Male,Anchorage,AK,2023-07-03,Pending,Retail,241896,547,Yes
C000179,Stephanie,Martin,1966-04-23,Female,Atlanta,GA,2015-03-05,Pending,Retail,73756,641,Yes
C000180,Jason,Jackson,1983-12-27,Male,Louisville,KY,2023-03-28,Failed,Premium,157713,539,No
C000181,Dorothy,Martinez,1982-04-16,Non-binary,Stockton,CA,2012-03-09,Verified,Senior,277733,557,Yes
C000182,Larry,Yoon,1960-07-15,Non-binary,Pittsburgh,PA,2015-02-15,Partial,Business,96803,758,Yes
C000183,Kathleen,Patel,1964-02-06,Non-binary,Stockton,CA,2014-08-26,Partial,Premium,35395,821,Yes
C000184,Dorothy,Iyer,1955-10-16,Non-binary,Atlanta,GA,2015-04-07,Partial,Premium,202627,762,Yes
C000185,George,Choi,1984-06-28,Male,Boston,MA,2017-11-24,Failed,Retail,100067,619,No
C000186,Stephen,Martin,1999-02-13,Female,Portland,OR,2020-02-26,Verified,Wealth,236842,782,Yes
C000187,Lisa,Harris,1955-07-17,Male,Raleigh,NC,2015-05-02,Failed,Premium,263460,544,No
C000188,Carolyn,Nguyen,1955-06-28,Female,Baltimore,MD,2022-12-15,Pending,Wealth,125544,607,Yes
C000189,Mary,Wilson,1984-02-23,Non-binary,Austin,TX,2018-09-01,Partial,Business,82381,613,Yes
C000190,Jennifer,Davis,1974-05-26,Female,Austin,TX,2020-04-17,Pending,Premium,178951,772,Yes
C000191,Divya,Liu,1971-06-07,Male,Charlotte,NC,2016-02-03,Failed,Business,103887,591,No
C000192,Gregory,Hill,1998-09-18,Non-binary,Oklahoma City,OK,2020-07-05,Failed,Student,159508,787,No
C000193,Amit,Baker,1973-12-28,Male,El Paso,TX,2022-03-28,Partial,Student,288863,513,Yes
C000194,Melissa,Flores,1989-05-11,Non-binary,Riverside,CA,2023-10-12,Pending,Student,223449,718,Yes
C000195,Joseph,Martinez,1993-01-11,Non-binary,Milwaukee,WI,2013-04-29,Pending,Student,34039,689,Yes
C000196,Pamela,Okonkwo,1991-11-22,Male,Sacramento,CA,2021-09-07,Verified,Student,160779,508,Yes
C000197,Michael,Lee,1973-05-23,Female,Phoenix,AZ,2018-11-10,Verified,Wealth,67464,521,Yes
C000198,Kimberly,King,1998-12-16,Female,Nashville,TN,2020-08-29,Failed,Wealth,233710,555,No
C000199,Neha,Adesanya,1966-06-03,Male,Anaheim,CA,2017-04-30,Partial,Senior,167385,664,Yes
C000200,Nancy,Traoré,1976-08-12,Male,Omaha,NE,2021-12-09,Verified,Retail,38520,725,Yes
C000201,Debra,Green,1996-09-25,Female,El Paso,TX,2016-08-27,Pending,Wealth,129592,823,Yes
C000202,Maria,Nair,1962-07-10,Female,Memphis,TN,2018-09-26,Verified,Premium,65861,623,Yes
C000203,Divya,Kang,2000-11-15,Male,Anchorage,AK,2023-12-23,Pending,Wealth,133188,561,Yes
C000204,Sharon,Davis,1960-01-10,Female,Charlotte,NC,2023-01-20,Failed,Senior,184493,754,No
C000205,Wei,Flores,1975-10-18,Male,Las Vegas,NV,2017-01-27,Partial,Business,229793,646,Yes
C000206,Arjun,Harris,1996-02-07,Male,Boston,MA,2016-05-28,Partial,Student,273467,728,No
C000207,Amanda,Sharma,1969-04-05,Male,Portland,OR,2016-08-10,Verified,Premium,56195,746,No
C000208,Matthew,Okonkwo,1975-03-09,Male,Fort Worth,TX,2020-05-15,Pending,Wealth,252735,827,Yes
C000209,Isabella,Perez,1958-02-08,Female,Portland,OR,2021-02-10,Verified,Business,145437,822,Yes
C000210,Gary,Ndidi,1972-11-10,Non-binary,Sacramento,CA,2021-01-21,Verified,Wealth,62210,597,Yes
C000211,Cynthia,Robinson,1982-05-19,Female,Denver,CO,2011-05-14,Partial,Student,161327,616,Yes
C000212,Susan,Rivera,1957-06-12,Non-binary,Long Beach,CA,2013-05-31,Pending,Student,139251,808,Yes
C000213,Mason,Lee,1983-05-06,Non-binary,Riverside,CA,2017-11-05,Partial,Wealth,106411,742,No
C000214,Ashley,Lim,1997-06-09,Female,Omaha,NE,2023-12-23,Failed,Senior,194592,693,No
C000215,Jonathan,Iyer,1989-05-15,Non-binary,Las Vegas,NV,2019-05-25,Verified,Student,103360,813,Yes
C000216,Jeffrey,Wilson,1988-11-02,Male,Seattle,WA,2010-03-29,Partial,Student,136705,647,Yes
C000217,John,Chen,1959-09-12,Non-binary,Memphis,TN,2017-09-18,Verified,Wealth,124807,573,Yes
C000218,Mark,Williams,1960-05-05,Male,Tampa,FL,2012-01-06,Partial,Student,119608,568,Yes
C000219,Rachel,King,1976-01-25,Non-binary,Seattle,WA,2021-09-27,Partial,Wealth,221618,526,No
C000220,Noah,Kim,1990-06-05,Female,Lexington,KY,2017-10-31,Pending,Retail,264101,842,No
C000221,Brandon,Walker,2000-03-29,Non-binary,Jacksonville,FL,2018-08-04,Partial,Student,149601,659,Yes
C000222,Mia,Mensah,1966-04-19,Female,Louisville,KY,2013-05-16,Verified,Retail,52443,730,Yes
C000223,Carolyn,Brown,1979-05-20,Non-binary,Boston,MA,2010-05-18,Failed,Retail,44654,759,No
C000224,David,Singh,1966-09-15,Male,New York,NY,2018-06-21,Failed,Premium,146472,797,No
C000225,Isabella,Sow,1977-04-27,Male,Las Vegas,NV,2018-11-01,Partial,Student,221350,585,Yes
C000226,Anna,Jones,1980-08-25,Female,Honolulu,HI,2018-07-31,Failed,Senior,29153,644,No
C000227,Jerry,Campbell,1963-09-07,Non-binary,San Antonio,TX,2020-08-08,Verified,Business,94950,582,Yes
C000228,Thomas,Sharma,1973-12-16,Non-binary,Milwaukee,WI,2016-02-06,Partial,Senior,269573,682,Yes
C000229,Patrick,Han,1996-11-29,Female,St. Louis,MO,2018-04-17,Verified,Retail,76874,688,Yes
C000230,Liam,Sharma,1981-09-21,Female,Portland,OR,2019-07-23,Pending,Business,61359,601,Yes
C000231,Michelle,Rivera,1973-02-26,Female,Omaha,NE,2023-06-10,Pending,Wealth,118589,746,Yes
C000232,Christine,Jackson,1996-08-21,Male,Chicago,IL,2020-11-21,Failed,Business,209559,844,No
C000233,Jessica,Shah,1999-01-06,Non-binary,Chicago,IL,2019-06-05,Verified,Business,128947,760,Yes
C000234,Rahul,Lee,1975-03-12,Non-binary,Colorado Springs,CO,2015-06-19,Partial,Business,290929,767,Yes
C000235,Divya,Wilson,1962-03-12,Male,El Paso,TX,2013-12-20,Partial,Senior,64954,641,Yes
C000236,Michael,Yang,1961-09-30,Male,Anaheim,CA,2012-09-20,Partial,Premium,162682,510,Yes
C000237,Paul,Thompson,1956-01-03,Female,Kansas City,MO,2014-02-16,Pending,Student,245981,513,Yes
C000238,Rebecca,Cho,1962-06-24,Male,Louisville,KY,2017-01-21,Verified,Wealth,44665,600,Yes
C000239,Yan,Singh,1993-10-05,Male,Long Beach,CA,2015-09-20,Failed,Student,241409,504,No
C000240,Joseph,Brown,1983-03-16,Non-binary,Aurora,CO,2013-05-01,Failed,Retail,274974,708,No
C000241,Frank,Allen,1979-01-12,Female,Austin,TX,2013-03-04,Failed,Senior,181714,739,No
C000242,Justin,Cho,1955-02-04,Male,Tucson,AZ,2023-01-31,Partial,Business,189000,706,Yes
C000243,Justin,Mitchell,1977-10-12,Non-binary,Fort Worth,TX,2015-01-21,Verified,Wealth,92990,831,Yes
C000244,Hui,Johnson,1962-03-23,Female,Corpus Christi,TX,2022-12-01,Verified,Senior,246931,513,Yes
C000245,Robert,Jackson,1964-05-18,Male,Santa Ana,CA,2018-11-05,Verified,Business,279903,614,No
C000246,Samantha,Williams,1989-01-16,Male,Milwaukee,WI,2010-08-26,Failed,Student,259672,849,No
C000247,Timothy,Yang,1961-06-29,Non-binary,Omaha,NE,2021-07-17,Verified,Retail,282092,731,Yes
